Date,TWSEMarginMaintenanceRate_IncludeETF,TWSEMarginMaintenanceRate_ExcludeETF,TWSEMarginMarketValueK_IncludeETF,TWSEMarginMarketValueK_ExcludeETF,TWSEETFMarginMarketValueK,TWSETotalMarginAmountK,TPEXMarginMaintenanceRate_IncludeETF,TPEXMarginMaintenanceRate_ExcludeETF,TPEXMarginMarketValueK_IncludeETF,TPEXMarginMarketValueK_ExcludeETF,TPEXETFMarginMarketValueK,TPEXTotalMarginAmountK,CombinedMarginMaintenanceRate_IncludeETF,CombinedMarginMaintenanceRate_ExcludeETF,CombinedMarginMarketValueK_IncludeETF,CombinedMarginMarketValueK_ExcludeETF,CombinedETFMarginMarketValueK,CombinedTotalMarginAmountK,Status
2012-04-19,150.1516527183777,149.41190564800434,293221148.98,291776546.26,1444602.7200000286,195283331.0,177.2949553275679,177.29355432666713,63509770.92999999,63509269.06999999,501.85999999940395,35821533.0,154.35889740079205,153.7335948628065,356730919.91,355285815.33,1445104.580000043,231104864.0,ok
2012-04-20,147.2130754664873,146.47685175045052,285383537.71999997,283956313.08,1427224.6399999857,193857466.0,174.40144051729,174.399763049816,62063164.580000006,62062567.63,596.9500000029802,35586383.0,151.42994846638925,150.80765172746032,347446702.29999995,346018880.71,1427821.5899999738,229443849.0,ok
2012-04-23,145.77306400888276,145.02735225355886,279976073.28,278543837.15000004,1432236.1299999356,192062968.0,170.99807405735254,170.99641002248129,60281723.62,60281137.0,586.6199999973178,35252867.0,149.6850392758604,149.0547168216416,340257796.9,338824974.15000004,1432822.7499999404,227315835.0,ok
2012-04-24,146.37483717235787,145.61580616326836,280070772.31,278618457.11,1452315.199999988,191338059.0,171.54968971053685,171.54802148517118,60343809.35,60343222.54,586.8100000023842,35175703.0,150.28428235631884,149.64286348747325,340414581.66,338961679.65000004,1452902.0099999905,226513762.0,ok
2012-04-25,148.50252266928607,147.74632447626848,283944848.42,282498956.61,1445891.8100000024,191205404.0,175.34343613194275,175.34196350055845,61724908.39,61724389.99,518.3999999985099,35202292.0,152.67579809212845,152.03694604091552,345669756.81,344223346.6,1446410.2099999785,226407696.0,ok
2012-04-26,147.01937522138078,146.26848629007836,281135090.70000005,279699217.18,1435873.5200000405,191223157.0,173.92983141684053,173.92840892889382,61081984.41,61081484.849999994,499.5600000023842,35118751.0,151.19474697986553,150.56014374059265,342217075.11,340780702.03,1436373.080000043,226341908.0,ok
2012-04-27,144.65440734393616,143.88347682594477,274579459.22,273116097.76,1463361.4600000381,189817555.0,171.31842938208595,171.31660049466657,59834935.05,59834296.29,638.7599999979138,34926152.0,148.7981126296898,148.14670385854228,334414394.27000004,332950394.05,1464000.2200000286,224743707.0,ok
2012-04-30,145.9897793484288,145.21824732412327,275392589.76,273937185.12,1455404.6399999857,188638267.0,171.9390253192345,171.9371941689314,59948367.17,59947728.72,638.4500000029802,34866062.0,150.03779051187865,149.38632971176145,335340956.93,333884913.84000003,1456043.0899999738,223504329.0,ok
2012-05-01,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20120501: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2012-05-02,152.0006755196248,151.21426741601718,290133970.69,288632900.35,1501070.3399999738,190876764.0,179.22452589924802,179.22307957001505,63157927.17000001,63157417.49000001,509.679999999702,35239556.0,156.24343163730953,155.5793574917547,353291897.86,351790317.84000003,1501580.019999981,226116320.0,ok
2012-05-03,151.32075534613304,150.56410804939907,289072342.5,287626897.65,1445444.8500000238,191032844.0,178.84840136671372,178.84670949618706,63056285.77,63055689.27,596.5,35256835.0,155.60967244555596,154.97065021688417,352128628.27,350682586.91999996,1446041.3500000238,226289679.0,ok
2012-05-04,153.16975553775086,152.393768135037,292760247.92999995,291277068.28,1483179.6499999762,191134501.0,181.05695451910165,181.05548841415512,64195285.83,64194766.00999999,519.8200000077486,35455852.0,157.53342056888008,156.87862681868012,356955533.75999993,355471834.28999996,1483699.469999969,226590353.0,ok
2012-05-07,150.59555152201247,149.85251289046712,290281682.69000006,288849432.52,1432250.1700000763,192755815.0,178.76614449449858,178.7644393744015,63554489.2,63553883.0,606.2000000029802,35551748.0,154.9822385384579,154.3546393686485,353836171.89000005,352403315.52,1432856.3700000644,228307563.0,ok
